 * * * * * * * COMPU-LOG - VERTICAL DEVIATION * * * * * * *

   CLIENT       : USGS                  HOLE ID.    : USGS 145     
   FIELD OFFICE : USGS                  DATE OF LOG : 07/16/18
   DATA FROM    :                       PROBE       : 9095C   ,   1203
   MAG. DECL.   :   12.500              DEPTH UNITS : FEET
   LOG: USGS145_07-16-18_15-19_9095C_.20_-3.60_1314.40_GYRO.log

CABLE DEPTH  TRUE DEPTH  NORTH DEV.  EAST DEV.  DISTANCE  AZIMUTH  SANG  SANGB
     0.00        -0.00         0.00      -0.00       0.0    359.2     0.1  359.2
     1.00         1.00         0.00       0.00       0.0     23.0     0.2   64.0
     2.00         2.00         0.00       0.00       0.0     41.2     0.2   55.0
     3.00         3.00         0.00       0.00       0.0     43.7     0.2   74.1
     4.00         4.00         0.01       0.01       0.0     45.1     0.1  334.7
     5.00         5.00         0.01       0.01       0.0     48.6     0.1   67.3
     6.00         6.00         0.01       0.01       0.0     49.2     0.2   85.2
     7.00         7.00         0.01       0.01       0.0     52.1     0.1   85.4
     8.00         8.00         0.01       0.01       0.0     55.6     0.1   75.4
     9.00         9.00         0.01       0.02       0.0     54.8     0.1  356.0
    10.00        10.00         0.01       0.02       0.0     59.5     0.2   89.1
    11.00        11.00         0.01       0.02       0.0     59.3     0.1   49.1
    12.00        12.00         0.01       0.02       0.0     58.5     0.3   58.8
    13.00        13.00         0.02       0.02       0.0     57.5     0.2   80.7
    14.00        14.00         0.02       0.03       0.0     60.0     0.2   83.2
    15.00        15.00         0.02       0.03       0.0     60.1     0.1   67.2
    16.00        16.00         0.02       0.03       0.0     59.6     0.1   32.2
    17.00        17.00         0.02       0.03       0.0     58.6     0.2   53.2
    18.00        18.00         0.02       0.04       0.0     59.2     0.3   77.7
    19.00        19.00         0.02       0.04       0.0     60.0     0.2  252.3
    20.00        20.00         0.02       0.04       0.0     61.1     0.2   86.1
    21.00        21.00         0.03       0.04       0.1     60.4     0.1   25.1
    22.00        22.00         0.03       0.05       0.1     60.8     0.2   63.6
    23.00        23.00         0.03       0.05       0.1     62.9     0.3  104.6
    24.00        24.00         0.03       0.05       0.1     61.6     0.1  312.5
    25.00        25.00         0.03       0.06       0.1     62.8     0.2  105.1
    26.00        26.00         0.03       0.06       0.1     64.4     0.2   69.4
    27.00        27.00         0.03       0.06       0.1     63.1     0.2   69.4
    28.00        28.00         0.03       0.07       0.1     64.2     0.2   68.5
    29.00        29.00         0.03       0.07       0.1     64.8     0.2   67.8
    30.00        30.00         0.03       0.07       0.1     64.7     0.2   81.9
    31.00        31.00         0.04       0.07       0.1     63.7     0.2   28.8
    32.00        32.00         0.04       0.08       0.1     64.8     0.2  106.4
    33.00        33.00         0.04       0.08       0.1     65.3     0.2   58.8
    34.00        34.00         0.04       0.08       0.1     64.3     0.3   15.7
    35.00        35.00         0.04       0.08       0.1     63.6     0.0  281.4
    36.00        36.00         0.04       0.09       0.1     63.7     0.2   91.0
    37.00        37.00         0.04       0.09       0.1     63.5     0.1   17.0
    38.00        38.00         0.05       0.09       0.1     62.4     0.2   19.6
    39.00        39.00         0.05       0.09       0.1     61.2     0.2   37.6
    40.00        40.00         0.05       0.09       0.1     60.8     0.2   52.3
    41.00        41.00         0.05       0.10       0.1     60.7     0.1   41.4
    42.00        42.00         0.06       0.10       0.1     60.1     0.0   35.6
    43.00        43.00         0.06       0.10       0.1     58.7     0.3   18.4
    44.00        44.00         0.06       0.10       0.1     57.3     0.2   10.6
    45.00        45.00         0.07       0.10       0.1     57.0     0.3   58.7
    46.00        46.00         0.07       0.11       0.1     56.6     0.3   31.7
    47.00        47.00         0.07       0.11       0.1     55.6     0.3   16.4
    48.00        48.00         0.08       0.11       0.1     54.0     0.3   12.3
    49.00        49.00         0.08       0.11       0.1     52.8     0.2   15.9
    50.00        50.00         0.09       0.11       0.1     52.1     0.2   37.7
    51.00        51.00         0.09       0.11       0.1     51.5     0.2   26.2
