,DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS,items
0,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
1,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
2,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,HighPorosity,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
3,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,HighPorosity,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
4,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,HighPorosity,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
5,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,HighPorosity,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
6,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
7,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
8,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,LowRHOB,MidPorosity ,HighVelocity,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
9,InterDepth,HORDALAND,UtsiraFm,NormalCaliper,MidRHOB ,MidPorosity ,MidVelocity ,BS175,"BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
