"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, MidRHOB , MidVelocity , HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, MidPorosity "
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
"SandstoneShale, BS175, HORDALAND, UtsiraFm, InterDepth, NormalCaliper, LowRHOB, HighVelocity, HighPorosity"
