WELL,CALI,RDEP,RMED,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC,SP,LITHO_CODE,LITHO_CONF
33_9-17,13.570298195,1.2980601788,1.0683490038,136.14862061,0.4800000191,28.548046112,59.707588196,1.8120418787,-0.150245786,573.20196533,438476.6875,6814189.0,-547.1191406,26.807168961,65000.0,1.0
33_9-17,15.068716049,1.2601650953,0.8327192068,144.94361877,0.4631021619,6.8844561577,60.435367584,1.8466283083,-0.053173516,573.35400391,438476.6875,6814189.0,-547.2711792,26.327554703,65000.0,1.0
33_9-17,16.317592621,1.2202633619,0.83319664,157.99130249,0.4768447578,6.8844561577,60.801055908,1.8818255663,-0.030519439,573.50598145,438476.6875,6814189.0,-547.4231567,25.19720459,65000.0,1.0
33_9-17,17.051015854,1.1793880463,0.91752702,167.58830261,0.4967916012,6.8844561577,55.942466736,1.9197077751,-0.021831615,573.65795898,438476.6875,6814189.0,-547.5750732,24.370315552,65000.0,1.0
33_9-17,17.143157959,1.1345709562,1.074472785,172.93354797,0.5167384744,6.8844561577,57.22303772,1.9290803671,-0.024573568,573.80999756,438476.6875,6814189.0,-547.7271118,23.413076401,65000.0,1.0
33_9-17,15.719187737,1.0866984129,1.1388059855,173.61645508,0.5450381041,6.8844561577,58.908187866,1.9290323257,-0.022327792,573.9619751,438476.6875,6814189.0,-547.8790894,22.832698822,65000.0,1.0
33_9-17,16.074487686,1.0402742624,1.0980097055,172.85116577,0.5167194605,6.8844561577,61.834300995,1.9220774174,-0.022,574.11401367,438476.6875,6814189.0,-548.0311279,22.229991913,65000.0,1.0
33_9-17,16.83813858,1.0121985674,1.0502325296,171.95349121,0.4685321748,6.8844561577,62.089866638,1.9498105049,-0.022885779,574.26599121,438476.6875,6814189.0,-548.1830444,22.02132988,65000.0,1.0
33_9-17,18.505884171,1.0055675507,1.0242125988,169.03053284,0.4269319475,6.8844561577,61.256168365,1.9880412817,-0.028299011,574.41796875,438476.6875,6814189.0,-548.335022,22.0,65000.0,1.0
33_9-17,18.725091934,1.0025755167,1.017680645,165.68945313,0.4282404482,39.73670578,59.033588409,2.0346837044,-0.026358463,574.57000732,438476.6875,6814189.0,-548.4870605,21.175954819,65000.0,1.0
33_9-17,18.870004654,0.99769485,1.0675332546,164.85359192,0.4792833328,6.8844561577,56.719947815,2.0419678688,-0.032144997,574.72198486,438476.6875,6814189.0,-548.6390381,21.0,65000.0,1.0
33_9-17,19.149301529,0.989774406,1.0456688404,164.63626099,0.4900000095,6.8844561577,56.849834442,2.0329394341,-0.024247993,574.8739624,438476.6875,6814189.0,-548.7910156,20.590633392,65000.0,1.0
33_9-17,19.164907455,0.9807983041,1.0424804688,164.57276917,0.5226430297,6.8844561577,59.697517395,2.0202279091,-0.017764732,575.02600098,438476.6875,6814189.0,-548.9429932,20.39799118,65000.0,1.0
33_9-17,18.863958359,0.9727506042,1.080817461,164.53948975,0.4893289506,6.8844561577,59.75327301,2.0253648758,-0.002211893,575.17797852,438476.6875,6814189.0,-549.0949707,20.375,65000.0,1.0
33_9-17,18.37887001,0.967615366,1.1258844137,164.50621033,0.5205382109,6.8844561577,57.01530838,1.997426033,0.0043361634,575.32995605,438476.6875,6814189.0,-549.2469482,20.070962906,65000.0,1.0
33_9-17,17.776231766,0.9646227956,1.2251507044,164.17674255,0.5461621881,6.8844561577,55.446651459,1.9390234947,0.0067291535,575.48199463,438476.6875,6814189.0,-549.3989868,20.0,65000.0,1.0
33_9-17,16.6242733,0.9611734748,1.2795624733,163.85836792,0.5500000119,33.112205505,59.850154877,1.8841916323,0.004414238,575.63397217,438476.6875,6814189.0,-549.5509644,20.20136261,65000.0,1.0
33_9-17,15.810554504,0.9562761188,1.3537307978,163.39860535,0.509860158,19.976573944,65.609931946,1.8739000559,0.0065777944,575.78601074,438476.6875,6814189.0,-549.7029419,19.948951721,65000.0,1.0
33_9-17,16.009614944,0.9502921104,1.3836878538,163.05978394,0.4519723058,14.907818794,70.15196228,1.9027966261,-0.009275566,575.93798828,438476.65625,6814189.0,-549.8549194,19.574827194,65000.0,1.0
33_9-17,15.813262939,0.9443079829,1.3715411425,163.63829041,0.4479788542,13.797889709,70.700790405,1.9397610426,-0.026517196,576.08996582,438476.65625,6814189.0,-550.006897,18.801849365,65000.0,1.0
33_9-17,15.599298477,0.9396619797,1.3482758999,164.51571655,0.4420477152,15.17545414,71.917251587,1.9514352083,-0.039215561,576.24200439,438476.65625,6814189.0,-550.1589355,18.625,65000.0,1.0
33_9-17,15.500597954,0.9362266064,1.317620635,165.41333008,0.4558514655,18.830169678,73.191177368,1.9479030371,-0.041000001,576.39398193,438476.65625,6814189.0,-550.3109131,18.823143005,65000.0,1.0
33_9-17,15.576976776,0.9331185818,1.288071394,166.11346436,0.4678991735,20.304672241,70.030982971,1.9386427402,-0.035921689,576.54595947,438476.65625,6814189.0,-550.4628906,18.776260376,65000.0,1.0
33_9-17,15.509329796,0.9311239123,1.2870384455,166.76171875,0.4778726399,18.094522476,68.682167053,1.9283912182,-0.02403152,576.69799805,438476.65625,6814189.0,-550.6148682,18.553184509,65000.0,1.0
