WELL,DEPTH_MD,GROUP,FORMATION,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,BS,ROP,DRHO
15/9-15,1151.928,HORDALAND GP.,Utsira Fm.,17.363323212,1.46796,1.46796,1.5991849899,2.0004403591,53.070877075,0.5890346169,2.246556282,133.39370728,62.222194672,17.5,19.625087738,0.0080411844
15/9-15,1152.08,HORDALAND GP.,Utsira Fm.,17.306394577,1.4617483616,1.4617483616,1.5767941475,2.0072553158,52.894161224,0.5954430103,2.2615725994,135.01968384,62.090976715,17.5,19.953790665,0.0067530512
15/9-15,1152.232,HORDALAND GP.,Utsira Fm.,17.303955078,1.4349364042,1.4349364042,1.5542780161,2.0170853138,56.147445679,0.6104481816,2.3494927883,136.6607666,62.29365921,17.5,20.300287247,0.0076771663
15/9-15,1152.384,HORDALAND GP.,Utsira Fm.,17.368221283,1.4041279554,1.4041279554,1.5368404388,2.0276217461,60.812625885,0.6145867705,2.4792406559,136.61581421,62.52306366,17.5,20.423683167,0.0094864713
15/9-15,1152.536,HORDALAND GP.,Utsira Fm.,17.433296204,1.3883981705,1.3883981705,1.5269428492,2.0335755348,63.83285141,0.6009938121,2.5958118439,134.9360199,62.895442963,17.5,20.727336884,0.0092944931
15/9-15,1159.376,HORDALAND GP.,Utsira Fm.,17.332830429,1.3523739576,1.3523739576,1.4772107601,1.9937821627,55.387088776,0.6332134008,2.4029150009,141.69979858,60.516490936,17.5,29.942581177,0.0239286572
15/9-15,1159.528,HORDALAND GP.,Utsira Fm.,17.305009842,1.3580679893,1.3580679893,1.4886404276,1.9815971851,60.372829437,0.596888721,2.4610724449,141.42420959,60.689002991,17.5,29.58490181,0.0212251693
15/9-15,1160.44,HORDALAND GP.,Utsira Fm.,17.648685455,1.3862892389,1.3862892389,1.5196061134,1.926004529,58.04932785,0.5502502918,2.4317829609,140.95210266,61.733726501,17.5,27.36173439,0.0178277623
15/9-15,1160.592,HORDALAND GP.,Utsira Fm.,17.555011749,1.369904995,1.369904995,1.5178200006,1.8995585442,60.10092926,0.5612719655,2.457379818,142.64108276,61.810058594,17.5,27.770254135,0.0227479003
15/9-15,1168.344,HORDALAND GP.,Utsira Fm.,17.534988403,1.4189734459,1.4189734459,1.4324787855,2.0047111511,57.959018707,0.5874267817,2.5544905663,138.45013428,60.520801544,17.5,28.773571014,0.0284139533
15/9-15,1168.496,HORDALAND GP.,Utsira Fm.,17.408748627,1.3853331804,1.3853331804,1.4414206743,1.9923685789,67.150932312,0.5235689282,2.5179362297,140.94094849,60.20293045,17.5,28.980916977,0.0399161614
15/9-15,1168.648,HORDALAND GP.,Utsira Fm.,17.348819733,1.3567633629,1.3567633629,1.443172574,1.9905287027,71.946838379,0.523080945,2.5025908947,141.12171936,60.438644409,17.5,29.360864639,0.0480526164
15/9-15,1169.104,HORDALAND GP.,Utsira Fm.,17.529714584,1.3727782965,1.3727782965,1.4200478792,2.0032217503,63.742618561,0.6399722695,2.2665717602,139.78411865,60.153388977,17.5,29.463010788,0.0150148282
15/9-15,1169.256,HORDALAND GP.,Utsira Fm.,17.599365234,1.363853097,1.363853097,1.4197630882,1.994954586,67.323516846,0.601947248,2.2792155743,140.05101013,60.432415009,17.5,29.461675644,0.0093616014
15/9-15,1169.408,HORDALAND GP.,Utsira Fm.,17.632246017,1.3472174406,1.3472174406,1.4238219261,1.9867856503,69.214485168,0.5705868006,2.3646235466,140.36270142,60.968593597,17.5,29.447399139,0.0117785828
15/9-15,1169.56,HORDALAND GP.,Utsira Fm.,17.634716034,1.3372853994,1.3372853994,1.4254658222,1.9760919809,69.87815094,0.563111186,2.4498176575,140.97375488,60.920528412,17.5,29.151411057,0.0154219745
15/9-15,1172.6,HORDALAND GP.,Utsira Fm.,17.627613068,1.3492852449,1.3492852449,1.426012516,1.989566803,59.614131927,0.6454413533,2.5700080395,142.84645081,60.585296631,17.5,29.16047287,0.0196702592
15/9-15,1172.752,HORDALAND GP.,Utsira Fm.,17.609619141,1.3508226871,1.3508226871,1.4375255108,1.9939284325,64.733566284,0.6367449164,2.5384550095,142.887146,60.662853241,17.5,29.855064392,0.0190650914
15/9-15,1172.904,HORDALAND GP.,Utsira Fm.,17.573503494,1.3747481108,1.3747481108,1.439434886,1.9992666245,71.036476135,0.6334698796,2.5228161812,142.76246643,60.91488266,17.5,30.813661575,0.0148449037
15/9-15,1216.528,HORDALAND GP.,Utsira Fm.,14.075368881,1.2225142717,1.2225142717,1.1905989647,1.80479002,85.564025879,0.5493162274,1.9763630629,147.54789734,60.683418274,12.250000954,27.621507645,0.0369618461
15/9-15,1216.68,HORDALAND GP.,Utsira Fm.,14.090128899,1.2024222612,1.2024222612,1.1837865114,1.8217326403,84.479827881,0.5406078696,1.917062521,146.53739929,60.548545837,12.250000954,60.454574585,0.0251109935
15/9-15,1220.936,HORDALAND GP.,Utsira Fm.,14.94063282,1.1188504696,1.1188504696,1.1304788589,1.828368187,70.323646545,0.5159128904,1.6707763672,146.22244263,60.478248596,12.250000954,61.531093597,0.0358296745
15/9-15,1226.408,HORDALAND GP.,Utsira Fm.,15.427605629,1.1268718243,1.1268718243,1.1532421112,1.8393716812,74.300804138,0.490519762,1.686904788,147.14567566,60.00479126,12.250000954,53.640522003,0.0522427186
15/9-15,1226.56,HORDALAND GP.,Utsira Fm.,15.442127228,1.1522870064,1.1522870064,1.1637496948,1.8485745192,75.199867249,0.5005617142,1.6423021555,146.02952576,58.586204529,12.250000954,53.643180847,0.0509254858
15/9-15,1226.712,HORDALAND GP.,Utsira Fm.,15.454026222,1.1603626013,1.1603626013,1.1752883196,1.8698804379,77.746246338,0.5333076715,1.6264359951,149.03477478,58.743183136,12.250000954,53.645595551,0.0503651388
15/9-15,1286.296,HORDALAND GP.,Utsira Fm.,13.918689728,0.6544758081,0.6544758081,0.7521887422,1.9203206301,44.531276703,0.5217151046,4.5716791153,153.41337585,62.497283936,12.250000954,53.954917908,0.1159813777
15/9-15,1286.448,HORDALAND GP.,Utsira Fm.,13.859601974,0.6735736728,0.6735736728,0.7498058081,1.9319771528,46.575141907,0.5578449368,4.1040472984,154.08726501,62.304031372,12.250000954,51.201019287,0.1208029762
15/9-15,1286.752,HORDALAND GP.,Utsira Fm.,13.438775063,0.7060540318,0.7060540318,0.749221921,1.9562795162,43.621635437,0.5504709482,2.6543507576,152.8354187,61.807159424,12.250000954,51.208698273,0.1193335727
15/9-15,1286.904,HORDALAND GP.,Utsira Fm.,13.161705971,0.7123140097,0.7123140097,0.753834188,1.9605003595,45.015148163,0.5375970602,2.39529562,152.17050171,61.750762939,12.250000954,47.252727509,0.1038167998
