DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS,LITHOLOGY
1151.928,3,25,17.363323212,2.0004403591,0.5890346169,133.39370728,4,SandstoneShale
1152.08,3,25,17.306394577,2.0072553158,0.5954430103,135.01968384,4,SandstoneShale
1152.232,3,25,17.303955078,2.0170853138,0.6104481816,136.6607666,4,SandstoneShale
1152.384,3,25,17.368221283,2.0276217461,0.6145867705,136.61581421,4,SandstoneShale
1152.536,3,25,17.433296204,2.0335755348,0.6009938121,134.9360199,4,SandstoneShale
1159.376,3,25,17.332830429,1.9937821627,0.6332134008,141.69979858,4,SandstoneShale
1159.528,3,25,17.305009842,1.9815971851,0.596888721,141.42420959,4,SandstoneShale
1160.44,3,25,17.648685455,1.926004529,0.5502502918,140.95210266,4,SandstoneShale
1160.592,3,25,17.555011749,1.8995585442,0.5612719655,142.64108276,4,SandstoneShale
1168.344,3,25,17.534988403,2.0047111511,0.5874267817,138.45013428,4,SandstoneShale
1168.496,3,25,17.408748627,1.9923685789,0.5235689282,140.94094849,4,SandstoneShale
1168.648,3,25,17.348819733,1.9905287027,0.523080945,141.12171936,4,SandstoneShale
1169.104,3,25,17.529714584,2.0032217503,0.6399722695,139.78411865,4,SandstoneShale
1169.256,3,25,17.599365234,1.994954586,0.601947248,140.05101013,4,SandstoneShale
1169.408,3,25,17.632246017,1.9867856503,0.5705868006,140.36270142,4,SandstoneShale
1169.56,3,25,17.634716034,1.9760919809,0.563111186,140.97375488,4,SandstoneShale
1172.6,3,25,17.627613068,1.989566803,0.6454413533,142.84645081,4,SandstoneShale
1172.752,3,25,17.609619141,1.9939284325,0.6367449164,142.887146,4,SandstoneShale
1172.904,3,25,17.573503494,1.9992666245,0.6334698796,142.76246643,4,SandstoneShale
1216.528,3,25,14.075368881,1.80479002,0.5493162274,147.54789734,2,SandstoneShale
1216.68,3,25,14.090128899,1.8217326403,0.5406078696,146.53739929,2,SandstoneShale
1220.936,3,25,14.94063282,1.828368187,0.5159128904,146.22244263,2,SandstoneShale
1221.088,3,25,14.996161461,1.8295228481,0.5124033093,147.74737549,2,SandstoneShale
1221.24,3,25,15.041924477,1.8334077597,0.5077378154,151.15370178,2,SandstoneShale
1226.408,3,25,15.427605629,1.8393716812,0.490519762,147.14567566,2,SandstoneShale
1226.56,3,25,15.442127228,1.8485745192,0.5005617142,146.02952576,2,SandstoneShale
1226.712,3,25,15.454026222,1.8698804379,0.5333076715,149.03477478,2,SandstoneShale
1284.624,3,25,13.699995995,1.9834103584,0.5030508637,152.47242737,2,Sandstone
1284.776,3,25,13.696201324,1.9933565855,0.4720915556,149.22735596,2,Sandstone
1284.928,3,25,13.699129105,2.0010197163,0.4349440336,147.55545044,2,Sandstone
1285.08,3,25,13.696586609,2.0042648315,0.4227328598,149.30610657,2,Sandstone
1285.232,3,25,13.698842049,2.0032608509,0.4211226702,150.69586182,2,Sandstone
1285.384,3,25,13.70923233,2.0009996891,0.4262441099,152.42651367,2,Sandstone
1285.536,3,25,13.732307434,1.993997097,0.4317797124,153.33595276,2,Sandstone
1285.688,3,25,13.780005455,1.9789119959,0.4310763776,152.42222595,2,Sandstone
1285.84,3,25,13.841901779,1.9578534365,0.429266572,151.78117371,2,Sandstone
1285.992,3,25,13.897144318,1.9355112314,0.4368208945,151.03935242,2,Sandstone
1286.144,3,25,13.926101685,1.9198038578,0.4740116,151.94488525,2,Sandstone
1286.296,3,25,13.918689728,1.9203206301,0.5217151046,153.41337585,2,Sandstone
1286.448,3,25,13.859601974,1.9319771528,0.5578449368,154.08726501,2,Sandstone
1286.6,3,25,13.712539673,1.949119091,0.5629319549,153.50033569,2,Sandstone
1286.752,3,25,13.438775063,1.9562795162,0.5504709482,152.8354187,2,Sandstone
1286.904,3,25,13.161705971,1.9605003595,0.5375970602,152.17050171,2,Sandstone
1287.056,3,25,13.026386261,1.9666173458,0.5073295832,152.70570374,2,Sandstone
1287.208,3,25,12.973670006,1.9723562002,0.4767152369,151.24441528,2,Sandstone
1287.36,3,25,12.965229034,1.975288868,0.4552733004,151.47145081,2,Sandstone
1287.512,3,25,12.972801208,1.9772213697,0.4515858293,151.38484192,2,Sandstone
1287.664,3,25,13.013237,1.9884389639,0.458455503,152.40846252,2,Sandstone
1287.816,3,25,13.104063988,2.0051336288,0.4615289867,152.72900391,2,Sandstone
1287.968,3,25,13.210116386,2.0098798275,0.4618665874,150.00984192,2,Sandstone
1288.12,3,25,13.274252892,1.9925493002,0.4664665461,148.49769592,2,Sandstone
1288.272,3,25,13.349066734,1.9571990967,0.4861830175,148.88583374,2,Sandstone
1288.424,3,25,13.544324875,1.9327545166,0.5070621967,149.44685364,2,Sandstone
1288.576,3,25,13.826939583,1.9301105738,0.5213990211,150.9671936,2,Sandstone
1288.728,3,25,14.027161598,1.9370652437,0.5226735473,151.91273499,2,Sandstone
1288.88,3,25,14.113732338,1.9248430729,0.515111208,152.33659363,2,Sandstone
1289.032,3,25,14.219483376,1.8857302666,0.5114042759,152.03936768,2,Sandstone
1289.184,3,25,14.393721581,1.8309185505,0.518347919,152.44619751,2,Sandstone
