DEPTH_MD,GROUP,FORMATION,CALI,RHOB,NPHI,DTC,BS,LITHOLOGY
1149.648,HORDALAND GP.,Utsira Fm.,17.482091904,2.063167572,0.54185009,134.22637939,17.5,65000
1149.8,HORDALAND GP.,Utsira Fm.,17.395610809,2.05113554,0.5454009175,134.82479858,17.5,65000
1149.952,HORDALAND GP.,Utsira Fm.,17.364606857,2.0415401459,0.5489529967,135.03707886,17.5,65000
1150.104,HORDALAND GP.,Utsira Fm.,17.371887207,2.0356984138,0.5493555069,134.50033569,17.5,65000
1150.256,HORDALAND GP.,Utsira Fm.,17.370704651,2.0290987492,0.5433511734,132.16239929,17.5,65000
1150.408,HORDALAND GP.,Utsira Fm.,17.376644135,2.0253431797,0.5438557267,129.90846252,17.5,65000
1150.56,HORDALAND GP.,Utsira Fm.,17.405723572,2.0250871181,0.5521139503,129.4107666,17.5,65000
1150.712,HORDALAND GP.,Utsira Fm.,17.356458664,2.0213315487,0.5465470552,129.57086182,17.5,65000
1150.864,HORDALAND GP.,Utsira Fm.,17.280124664,2.0146901608,0.5258116722,131.08398438,17.5,65000
1151.016,HORDALAND GP.,Utsira Fm.,17.252223969,2.0048904419,0.4986175895,135.12599182,17.5,65000
1151.168,HORDALAND GP.,Utsira Fm.,17.262874603,1.9920636415,0.4868463278,137.47341919,17.5,65000
1151.32,HORDALAND GP.,Utsira Fm.,17.322483063,1.9805293083,0.5095843673,138.79495239,17.5,65000
1151.472,HORDALAND GP.,Utsira Fm.,17.262235641,1.9772852659,0.5587665439,136.67552185,17.5,65000
1151.624,HORDALAND GP.,Utsira Fm.,17.188396454,1.984823823,0.5991560817,134.75689697,17.5,65000
1151.776,HORDALAND GP.,Utsira Fm.,17.293664932,1.9940551519,0.5999144912,133.55117798,17.5,65000
1151.928,HORDALAND GP.,Utsira Fm.,17.363323212,2.0004403591,0.5890346169,133.39370728,17.5,65030
1152.08,HORDALAND GP.,Utsira Fm.,17.306394577,2.0072553158,0.5954430103,135.01968384,17.5,65030
1152.232,HORDALAND GP.,Utsira Fm.,17.303955078,2.0170853138,0.6104481816,136.6607666,17.5,65030
1152.384,HORDALAND GP.,Utsira Fm.,17.368221283,2.0276217461,0.6145867705,136.61581421,17.5,65030
1152.536,HORDALAND GP.,Utsira Fm.,17.433296204,2.0335755348,0.6009938121,134.9360199,17.5,65030
1152.688,HORDALAND GP.,Utsira Fm.,17.468294144,2.0339932442,0.5763171315,134.49966431,17.5,65000
1152.84,HORDALAND GP.,Utsira Fm.,17.418153763,2.0305116177,0.5428779125,134.99835205,17.5,65000
1152.992,HORDALAND GP.,Utsira Fm.,17.39418602,2.0274267197,0.5182313919,136.04626465,17.5,65000
1153.144,HORDALAND GP.,Utsira Fm.,17.4870224,2.0310344696,0.5288696289,138.03445435,17.5,65000
1153.296,HORDALAND GP.,Utsira Fm.,17.525499344,2.0420069695,0.5671935678,137.36187744,17.5,65000
1153.448,HORDALAND GP.,Utsira Fm.,17.531738281,2.0524017811,0.5956140757,135.80020142,17.5,65000
1153.6,HORDALAND GP.,Utsira Fm.,17.628221512,2.0530529022,0.602663517,133.87400818,17.5,65000
1153.752,HORDALAND GP.,Utsira Fm.,17.707717896,2.0419666767,0.6161627173,131.02886963,17.5,65000
1153.904,HORDALAND GP.,Utsira Fm.,17.687911987,2.0251188278,0.6419649124,131.63877869,17.5,65000
1154.056,HORDALAND GP.,Utsira Fm.,17.607830048,2.0102510452,0.6392138004,134.30610657,17.5,65000
1154.208,HORDALAND GP.,Utsira Fm.,17.530118942,1.9998869896,0.5949314237,138.36450195,17.5,65000
1154.36,HORDALAND GP.,Utsira Fm.,17.458662033,1.9968703985,0.5401518345,141.27854919,17.5,65000
1154.512,HORDALAND GP.,Utsira Fm.,17.450069427,1.9984945059,0.5150749683,140.8421936,17.5,65000
1154.664,HORDALAND GP.,Utsira Fm.,17.583417892,1.9997426271,0.5303167701,140.04264832,17.5,65000
1154.816,HORDALAND GP.,Utsira Fm.,17.729328156,2.0031635761,0.5559940934,138.32185364,17.5,65000
1154.968,HORDALAND GP.,Utsira Fm.,17.7781353,2.0100643635,0.5711711049,137.88877869,17.5,65000
1155.12,HORDALAND GP.,Utsira Fm.,17.752145767,2.0161905289,0.5722689033,136.94816589,17.5,65000
1155.272,HORDALAND GP.,Utsira Fm.,17.666481018,2.0148370266,0.5671136975,136.90354919,17.5,65000
1155.424,HORDALAND GP.,Utsira Fm.,17.552442551,2.0072095394,0.5634818673,137.70210266,17.5,65000
1155.576,HORDALAND GP.,Utsira Fm.,17.505138397,2.0012276173,0.5684629083,138.62466431,17.5,65000
1155.728,HORDALAND GP.,Utsira Fm.,17.564464569,1.9992718697,0.5819736123,139.32185364,17.5,65000
1155.88,HORDALAND GP.,Utsira Fm.,17.589834213,2.001087904,0.5936542749,140.24638367,17.5,65000
1156.032,HORDALAND GP.,Utsira Fm.,17.522361755,2.0066096783,0.5944415331,140.7739563,17.5,65000
1156.184,HORDALAND GP.,Utsira Fm.,17.48887825,2.0126264095,0.5763410926,140.89862061,17.5,65000
1156.336,HORDALAND GP.,Utsira Fm.,17.5148983,2.0142726898,0.5486646891,140.90682983,17.5,65000
1156.488,HORDALAND GP.,Utsira Fm.,17.557287216,2.0089986324,0.5352442265,140.43110657,17.5,65000
1156.64,HORDALAND GP.,Utsira Fm.,17.611181259,2.003916502,0.5508722663,140.35137939,17.5,65000
1156.792,HORDALAND GP.,Utsira Fm.,17.681148529,2.0059154034,0.5765449405,141.50886536,17.5,65000
1156.944,HORDALAND GP.,Utsira Fm.,17.732570648,2.0101850033,0.5776934028,141.9271698,17.5,65000
1157.096,HORDALAND GP.,Utsira Fm.,17.717256546,2.011131525,0.5666915774,141.19488525,17.5,65000
1157.248,HORDALAND GP.,Utsira Fm.,17.701942444,2.0103855133,0.5747461915,142.0610199,17.5,65000
1157.4,HORDALAND GP.,Utsira Fm.,17.651172638,2.0096423626,0.585146904,141.58201599,17.5,65000
1157.552,HORDALAND GP.,Utsira Fm.,17.639661789,2.0088443756,0.5796928406,140.9153595,17.5,65000
1157.704,HORDALAND GP.,Utsira Fm.,17.733158112,2.0062265396,0.5750350356,141.46522522,17.5,65000
1157.856,HORDALAND GP.,Utsira Fm.,17.738126755,1.9976855516,0.6086909175,139.83988953,17.5,65000
1158.008,HORDALAND GP.,Utsira Fm.,17.571943283,1.9847589731,0.6714969277,139.01968384,17.5,65000
1158.16,HORDALAND GP.,Utsira Fm.,17.409730911,1.9761009216,0.6907389164,139.17338562,17.5,65000
1158.312,HORDALAND GP.,Utsira Fm.,17.409072876,1.9745415449,0.6630777121,139.4850769,17.5,65000
1158.464,HORDALAND GP.,Utsira Fm.,17.506591797,1.9803137779,0.6317222118,139.93701172,17.5,65000
1158.616,HORDALAND GP.,Utsira Fm.,17.545536041,1.994071722,0.6124973893,140.92651367,17.5,65000
1158.768,HORDALAND GP.,Utsira Fm.,17.502155304,2.0075218678,0.6114128828,140.57217407,17.5,65000
1158.92,HORDALAND GP.,Utsira Fm.,17.491970062,2.0133621693,0.614580214,141.01771545,17.5,65000
1159.072,HORDALAND GP.,Utsira Fm.,17.472776413,2.0099673271,0.6308999658,141.1771698,17.5,65000
1159.224,HORDALAND GP.,Utsira Fm.,17.406257629,2.0023610592,0.6471400261,141.53411865,17.5,65000
1159.376,HORDALAND GP.,Utsira Fm.,17.332830429,1.9937821627,0.6332134008,141.69979858,17.5,65030
1159.528,HORDALAND GP.,Utsira Fm.,17.305009842,1.9815971851,0.596888721,141.42420959,17.5,65030
1159.68,HORDALAND GP.,Utsira Fm.,17.408109665,1.9728289843,0.5788623691,141.65354919,17.5,65000
1159.832,HORDALAND GP.,Utsira Fm.,17.525823593,1.9785518646,0.5996234417,140.74803162,17.5,65000
1159.984,HORDALAND GP.,Utsira Fm.,17.549667358,1.9945453405,0.6209151149,138.87664795,17.5,65000
1160.136,HORDALAND GP.,Utsira Fm.,17.584733963,1.9962720871,0.6156114936,138.12072754,17.5,65000
1160.288,HORDALAND GP.,Utsira Fm.,17.662315369,1.9687099457,0.5811414123,139.20669556,17.5,65000
1160.44,HORDALAND GP.,Utsira Fm.,17.648685455,1.926004529,0.5502502918,140.95210266,17.5,65030
1160.592,HORDALAND GP.,Utsira Fm.,17.555011749,1.8995585442,0.5612719655,142.64108276,17.5,65030
1160.744,HORDALAND GP.,Utsira Fm.,17.484764099,1.9041610956,0.6031938791,143.44685364,17.5,65000
1160.896,HORDALAND GP.,Utsira Fm.,17.442779541,1.9208954573,0.634562254,140.82513428,17.5,65000
1161.048,HORDALAND GP.,Utsira Fm.,17.404268265,1.9306824207,0.618637383,139.34875488,17.5,65000
1161.2,HORDALAND GP.,Utsira Fm.,17.374113083,1.9306981564,0.5754922032,139.32972717,17.5,65000
1161.352,HORDALAND GP.,Utsira Fm.,17.486692429,1.9352049828,0.5552795529,141.16239929,17.5,65000
1161.504,HORDALAND GP.,Utsira Fm.,17.742191315,1.9541480541,0.5625408888,141.487854,17.5,65000
1161.656,HORDALAND GP.,Utsira Fm.,17.78768158,1.9796793461,0.5754181147,141.31594849,17.5,65000
1161.808,HORDALAND GP.,Utsira Fm.,17.632448196,1.9988619089,0.5827932954,140.50886536,17.5,65000
1161.96,HORDALAND GP.,Utsira Fm.,17.478469849,1.993522048,0.6001745462,138.2142334,17.5,65000
1162.112,HORDALAND GP.,Utsira Fm.,17.327020645,1.9669870138,0.6265237331,139.29823303,17.5,65000
1162.264,HORDALAND GP.,Utsira Fm.,17.312858582,1.9333364964,0.6272722483,141.26148987,17.5,65000
1162.416,HORDALAND GP.,Utsira Fm.,17.369873047,1.9094561338,0.5974327922,142.72966003,17.5,65000
1162.568,HORDALAND GP.,Utsira Fm.,17.473875046,1.9051105976,0.5723907948,142.41142273,17.5,65000
1162.72,HORDALAND GP.,Utsira Fm.,17.498195648,1.9204293489,0.566227138,141.22276306,17.5,65000
1162.872,HORDALAND GP.,Utsira Fm.,17.589265823,1.9463074207,0.5627199411,139.32907104,17.5,65000
1163.024,HORDALAND GP.,Utsira Fm.,17.618753433,1.9633306265,0.5617080331,138.72341919,17.5,65000
1163.176,HORDALAND GP.,Utsira Fm.,17.654949188,1.9624527693,0.6008163691,138.53707886,17.5,65000
1163.328,HORDALAND GP.,Utsira Fm.,17.676450729,1.950564146,0.6785876751,140.84022522,17.5,65000
1163.48,HORDALAND GP.,Utsira Fm.,17.564790726,1.9363796711,0.7331521511,142.16436768,17.5,65000
1163.632,HORDALAND GP.,Utsira Fm.,17.439357758,1.9322441816,0.7222406268,142.67454529,17.5,65000
1163.784,HORDALAND GP.,Utsira Fm.,17.50138855,1.93366611,0.6700745821,141.55052185,17.5,65000
1163.936,HORDALAND GP.,Utsira Fm.,17.63940239,1.9409236908,0.6335904598,142.41633606,17.5,65000
1164.088,HORDALAND GP.,Utsira Fm.,17.671367645,1.9499064684,0.6234493256,143.14468384,17.5,65000
1164.24,HORDALAND GP.,Utsira Fm.,17.686639786,1.9529542923,0.606261611,143.52493286,17.5,65000
1164.392,HORDALAND GP.,Utsira Fm.,17.799432755,1.950830698,0.576990962,143.94094849,17.5,65000
