CALI,RHOB,NPHI,DTC,LITHOLOGY
17.363323212,2.0004403591,0.5890346169,133.39370728,SandstoneShale
17.306394577,2.0072553158,0.5954430103,135.01968384,SandstoneShale
17.303955078,2.0170853138,0.6104481816,136.6607666,SandstoneShale
17.368221283,2.0276217461,0.6145867705,136.61581421,SandstoneShale
17.433296204,2.0335755348,0.6009938121,134.9360199,SandstoneShale
17.332830429,1.9937821627,0.6332134008,141.69979858,SandstoneShale
17.305009842,1.9815971851,0.596888721,141.42420959,SandstoneShale
17.648685455,1.926004529,0.5502502918,140.95210266,SandstoneShale
17.555011749,1.8995585442,0.5612719655,142.64108276,SandstoneShale
17.534988403,2.0047111511,0.5874267817,138.45013428,SandstoneShale
17.408748627,1.9923685789,0.5235689282,140.94094849,SandstoneShale
17.348819733,1.9905287027,0.523080945,141.12171936,SandstoneShale
17.529714584,2.0032217503,0.6399722695,139.78411865,SandstoneShale
17.599365234,1.994954586,0.601947248,140.05101013,SandstoneShale
17.632246017,1.9867856503,0.5705868006,140.36270142,SandstoneShale
17.634716034,1.9760919809,0.563111186,140.97375488,SandstoneShale
17.627613068,1.989566803,0.6454413533,142.84645081,SandstoneShale
17.609619141,1.9939284325,0.6367449164,142.887146,SandstoneShale
17.573503494,1.9992666245,0.6334698796,142.76246643,SandstoneShale
14.075368881,1.80479002,0.5493162274,147.54789734,SandstoneShale
14.090128899,1.8217326403,0.5406078696,146.53739929,SandstoneShale
14.94063282,1.828368187,0.5159128904,146.22244263,SandstoneShale
14.996161461,1.8295228481,0.5124033093,147.74737549,SandstoneShale
15.041924477,1.8334077597,0.5077378154,151.15370178,SandstoneShale
15.427605629,1.8393716812,0.490519762,147.14567566,SandstoneShale
15.442127228,1.8485745192,0.5005617142,146.02952576,SandstoneShale
15.454026222,1.8698804379,0.5333076715,149.03477478,SandstoneShale
13.699995995,1.9834103584,0.5030508637,152.47242737,Sandstone
13.696201324,1.9933565855,0.4720915556,149.22735596,Sandstone
13.699129105,2.0010197163,0.4349440336,147.55545044,Sandstone
13.696586609,2.0042648315,0.4227328598,149.30610657,Sandstone
13.698842049,2.0032608509,0.4211226702,150.69586182,Sandstone
13.70923233,2.0009996891,0.4262441099,152.42651367,Sandstone
13.732307434,1.993997097,0.4317797124,153.33595276,Sandstone
13.780005455,1.9789119959,0.4310763776,152.42222595,Sandstone
13.841901779,1.9578534365,0.429266572,151.78117371,Sandstone
13.897144318,1.9355112314,0.4368208945,151.03935242,Sandstone
13.926101685,1.9198038578,0.4740116,151.94488525,Sandstone
13.918689728,1.9203206301,0.5217151046,153.41337585,Sandstone
13.859601974,1.9319771528,0.5578449368,154.08726501,Sandstone
13.712539673,1.949119091,0.5629319549,153.50033569,Sandstone
13.438775063,1.9562795162,0.5504709482,152.8354187,Sandstone
13.161705971,1.9605003595,0.5375970602,152.17050171,Sandstone
13.026386261,1.9666173458,0.5073295832,152.70570374,Sandstone
12.973670006,1.9723562002,0.4767152369,151.24441528,Sandstone
12.965229034,1.975288868,0.4552733004,151.47145081,Sandstone
12.972801208,1.9772213697,0.4515858293,151.38484192,Sandstone
13.013237,1.9884389639,0.458455503,152.40846252,Sandstone
13.104063988,2.0051336288,0.4615289867,152.72900391,Sandstone
13.210116386,2.0098798275,0.4618665874,150.00984192,Sandstone
13.274252892,1.9925493002,0.4664665461,148.49769592,Sandstone
13.349066734,1.9571990967,0.4861830175,148.88583374,Sandstone
13.544324875,1.9327545166,0.5070621967,149.44685364,Sandstone
13.826939583,1.9301105738,0.5213990211,150.9671936,Sandstone
14.027161598,1.9370652437,0.5226735473,151.91273499,Sandstone
14.113732338,1.9248430729,0.515111208,152.33659363,Sandstone
14.219483376,1.8857302666,0.5114042759,152.03936768,Sandstone
14.393721581,1.8309185505,0.518347919,152.44619751,Sandstone
14.606926918,1.7805058956,0.5289137363,153.05610657,Sandstone
14.829509735,1.7436363697,0.5385782123,153.06954956,Sandstone
14.993730545,1.7267508507,0.531532824,153.00721741,Sandstone
15.056215286,1.7322865725,0.5161723495,153.11022949,Sandstone
15.114328384,1.7636127472,0.5016412735,151.91601563,Sandstone
15.211798668,1.8066854477,0.4853859246,151.53083801,Sandstone
15.356415749,1.8205960989,0.4994701147,151.17224121,Sandstone
15.569860458,1.7943880558,0.5338423848,151.45176697,Sandstone
15.859294891,1.7578663826,0.5498585701,151.17420959,Sandstone
16.160131454,1.7460805178,0.5450642705,151.34153748,Sandstone
16.442911148,1.7461053133,0.5288825035,151.15911865,Sandstone
16.710103989,1.7299348116,0.5319886804,151.25952148,Sandstone
16.958101273,1.7159131765,0.5367388725,151.4153595,Sandstone
17.165849686,1.7170848846,0.5624741316,151.57119751,Sandstone
17.339408875,1.7354227304,0.5908749104,151.72703552,Sandstone
17.421442032,1.7469160557,0.586882472,151.53739929,Sandstone
17.419368744,1.7488481998,0.5520055294,151.28805542,Sandstone
17.382581711,1.7560552359,0.5241043568,151.03869629,Sandstone
17.287527084,1.7707858086,0.5291888714,151.10531616,Sandstone
17.182271957,1.8021813631,0.5705009103,151.02000427,Sandstone
17.116268158,1.8289110661,0.599152863,150.79067993,Sandstone
17.08000946,1.8425596952,0.5944070816,150.95864868,Sandstone
17.089458466,1.8443272114,0.5662468672,150.47998047,Sandstone
17.134153366,1.8323568106,0.5305660963,150.99703979,Sandstone
17.217885971,1.8182855844,0.5051518679,151.95176697,Sandstone
17.332229614,1.8049485683,0.4963837564,153.67027283,Sandstone
17.397346497,1.7986717224,0.5244317651,154.82151794,Sandstone
17.433208466,1.7937393188,0.5612257719,156.63780212,Sandstone
17.388645172,1.7808642387,0.6035144329,157.30609131,Sandstone
17.236328125,1.7453830242,0.6311941147,158.18864441,Sandstone
17.047344208,1.7029653788,0.6240724921,158.17224121,SandstoneShale
16.714214325,1.6622515917,0.598411262,158.63026428,SandstoneShale
16.2186203,1.6371947527,0.5789687037,159.55577087,SandstoneShale
15.781517982,1.6252030134,0.5697928071,161.55708313,SandstoneShale
15.357936859,1.6429564953,0.5538600683,162.30018616,SandstoneShale
14.792373657,1.6878679991,0.5336807966,163.97079468,SandstoneShale
12.154698372,2.0217654705,0.4524592757,146.10169983,SandstoneShale
12.12280941,2.0050981045,0.4507671297,147.4881897,SandstoneShale
13.96572113,2.1295163631,0.5414440036,139.99934387,Limestone
13.829253197,2.2040314674,0.5316879749,120.71784973,Limestone
13.570147514,2.1784706116,0.4906641543,113.89911652,Limestone
14.04224968,2.1038527489,0.5761318803,131.93110657,Limestone
13.493611336,2.1473021507,0.5766146779,127.14173126,Limestone
13.152923584,2.0465445518,0.4582533538,62.497806549,Limestone
13.048430443,2.1282429695,0.4703921378,62.19070816,Limestone
12.613965034,2.2376475334,0.4795267582,112.97047424,Limestone
12.705791473,2.181650877,0.4405632913,115.57054138,Limestone
12.627165794,2.0790483952,0.42820099,124.61909485,Limestone
