,LITHOLOGY
4917,SandstoneShale
9287,Limestone
1483,Chalk
5598,Sandstone
12339,Sandstone
10234,Tuff
11036,Sandstone
5107,SandstoneShale
1061,Limestone
11542,Limestone
10403,Tuff
2512,Limestone
1172,Chalk
492,Limestone
7598,Sandstone
1258,Chalk
4534,SandstoneShale
327,Sandstone
5421,Sandstone
6211,Sandstone
7071,SandstoneShale
4300,Sandstone
10397,Tuff
6701,Sandstone
12585,Sandstone
3431,SandstoneShale
7793,Sandstone
3797,SandstoneShale
3106,Sandstone
9728,Sandstone
7206,SandstoneShale
5515,Sandstone
13860,Sandstone
3265,Sandstone
10653,Sandstone
9333,Limestone
3455,SandstoneShale
8913,Sandstone
2057,Chalk
1074,Limestone
9322,Limestone
2959,SandstoneShale
5523,Sandstone
1183,Chalk
12449,Coal
10613,Sandstone
1094,Limestone
1607,Chalk
8765,Sandstone
9209,Limestone
9030,Sandstone
10293,Tuff
8932,Sandstone
361,Sandstone
2096,Chalk
5176,Sandstone
8761,Limestone
8754,SandstoneShale
7619,Sandstone
3579,Sandstone
5625,Sandstone
4318,Sandstone
11282,Limestone
12100,SandstoneShale
11017,Sandstone
9597,Limestone
3326,Sandstone
3067,SandstoneShale
13171,Coal
7621,Sandstone
4581,Sandstone
8956,Sandstone
5597,Sandstone
13365,Sandstone
2234,Limestone
28,Sandstone
4915,SandstoneShale
13316,Sandstone
7783,Sandstone
5944,Sandstone
11915,Limestone
3522,SandstoneShale
11083,Limestone
9452,Limestone
10324,Tuff
8412,Sandstone
10929,Sandstone
4320,Sandstone
5886,SandstoneShale
2639,Marl
4268,Sandstone
13311,Coal
4575,Sandstone
3626,SandstoneShale
3233,Limestone
626,Tuff
2473,Limestone
1047,Limestone
4840,SandstoneShale
3509,Sandstone
4795,SandstoneShale
6153,Sandstone
10282,Tuff
13685,Sandstone
7817,Sandstone
6197,Sandstone
5979,Coal
4292,SandstoneShale
10505,Sandstone
1385,Chalk
2642,Limestone
2625,Marl
10587,Sandstone
12078,SandstoneShale
12738,Coal
9807,Sandstone
6840,Sandstone
2780,Marl
12465,Sandstone
230,SandstoneShale
5247,Sandstone
807,SandstoneShale
12952,Sandstone
4517,SandstoneShale
1381,Chalk
7207,SandstoneShale
2273,Limestone
7253,SandstoneShale
7034,Limestone
5380,Sandstone
12076,SandstoneShale
2288,Limestone
11614,Limestone
625,Tuff
2256,Limestone
11658,Limestone
4988,SandstoneShale
2071,Chalk
9102,Sandstone
9199,Limestone
3747,SandstoneShale
4327,Sandstone
10468,SandstoneShale
1613,Chalk
8087,Tuff
