DEPTH_MD,CALI,RSHA,RMED,RDEP,RHOB,GR,NPHI,PEF,DTC,SP,ROP,DRHO
1149.648,17.482091904,1.5026804209,1.5026804209,1.7141872644,2.063167572,68.388885498,0.54185009,2.5830109119,134.22637939,64.088851929,23.217105865,0.0263190567
1149.8,17.395610809,1.5050712824,1.5050712824,1.716345191,2.05113554,71.170013428,0.5454009175,2.5066716671,134.82479858,65.575721741,22.635520935,0.0199209731
1149.952,17.364606857,1.5251623392,1.5251623392,1.7192585468,2.0415401459,74.497497559,0.5489529967,2.427593708,135.03707886,66.153511047,21.852138519,0.0149322543
1150.104,17.371887207,1.5414427519,1.5414427519,1.7233072519,2.0356984138,76.098335266,0.5493555069,2.4015526772,134.50033569,64.918487549,21.146047592,0.009945849
1150.256,17.370704651,1.5429955721,1.5429955721,1.7293016911,2.0290987492,74.966674805,0.5433511734,2.3587770462,132.16239929,64.066925049,20.553537369,0.0057063079
1150.408,17.376644135,1.5399183035,1.5399183035,1.734800458,2.0253431797,70.875556946,0.5438557267,2.3210160732,129.90846252,63.705955505,20.440065384,0.0042288778
1150.56,17.405723572,1.5412940979,1.5412940979,1.735535264,2.0250871181,66.317642212,0.5521139503,2.3130373955,129.4107666,62.835857391,20.438924789,0.0047744792
1150.712,17.356458664,1.5412780046,1.5412780046,1.7280267477,2.0213315487,63.439628601,0.5465470552,2.2644565105,129.57086182,61.950336456,20.437702179,0.0039995802
1150.864,17.280124664,1.5352785587,1.5352785587,1.7145203352,2.0146901608,63.895557404,0.5258116722,2.2289869785,131.08398438,61.983020782,20.395635605,0.0020047873
1151.016,17.252223969,1.5226348639,1.5226348639,1.7007955313,2.0048904419,66.613990784,0.4986175895,2.2254779339,135.12599182,62.542930603,20.054800034,0.0007403367
1151.168,17.262874603,1.504113555,1.504113555,1.6883518696,1.9920636415,68.338630676,0.4868463278,2.2956867218,137.47341919,62.5440979,19.668924332,0.0009922927
1151.32,17.322483063,1.4822970629,1.4822970629,1.6748976707,1.9805293083,68.717803955,0.5095843673,2.3674619198,138.79495239,62.44651413,19.598127365,0.0024717439
1151.472,17.262235641,1.4630484581,1.4630484581,1.6597079039,1.9772852659,66.726463318,0.5587665439,2.3801054955,136.67552185,62.53969574,19.596879959,0.0054408228
