DEPT,FORCE_2020_LITHOFACIES_CONFIDENCE,FORCE_2020_LITHOFACIES_LITHOLOGY,CALI,BS,ROPA,ROP,RDEP,RMED,RMIC,DTS,DTC,NPHI,PEF,GR,RHOB,DRHO,DEPTH_MD,X_LOC,Y_LOC,Z_LOC
436.21671456,,,,,,484.59509277,,,,,,,,,,,,,,
436.36871456,,,,,,248.02154541,,,,,,,,,,,,,,
436.52071456,,,,,,163.89147949,,,,,,,,,,,,,,
436.67271456,,,,,,107.91197968,,,,,,,,,,,,,,
436.82471456,,,,,,96.232261658,,,,,,,,,,,,,,
436.97671456,,,,,,92.132041931,,,,,,,,,,,,,,
437.12871456,,,,9.875,,105.63499451,,,,,,,,,,,,,,
437.28071456,,,,9.875,,162.69961548,,,,,,,,,,,,,,
437.43271456,,,,9.875,,312.44973755,,,,,,,,,,,,,,
437.58471456,,,,9.875,,464.69329834,,,,,,,,,,,,,,
437.73671456,,,,9.875,,453.27478027,,,,,,,,,,,,,,
437.88871456,,,,9.875,,423.27523804,,,,,,,,,,,,,,
438.04071456,,,,9.875,,385.60882568,,,,,,,,,,,,,,
438.19271456,,,,9.875,,381.03503418,0.2829000056,0.2809999883,,,,,,,,,438.19271851,488393.65625,6853523.0,-413.192688
438.34471456,,,,9.875,,343.41802979,0.2829000056,0.3416078687,,,,,,,,,438.34472656,488393.65625,6853523.0,-413.344696
438.49671456,,,,9.875,,316.54354858,0.3326458335,0.4047397375,,,,,,,,,438.4967041,488393.65625,6853523.0,-413.4966736
438.64871456,,,,9.875,,287.05731201,0.3847026527,0.4677764177,,,,,,,,,438.64871216,488393.65625,6853523.0,-413.6486816
438.80071456,,,,9.875,,255.19111633,0.4366690814,0.4700404108,,,,,,,,,438.80072021,488393.65625,6853523.0,-413.8006897
438.95271456,,,,9.875,,294.76312256,0.488630712,0.4580697417,,,,,,,,,438.95272827,488393.65625,6853523.0,-413.9526978
439.10471456,,,,9.875,,391.33294678,0.4831838906,0.4597609341,,,,,,,,,439.10470581,488393.65625,6853523.0,-414.1046753
439.25671456,,,,9.875,70.729545593,466.20013428,0.5753666759,0.4620659649,,,,,,,,,439.25671387,488393.65625,6853523.0,-414.2566833
439.40871456,,,,9.875,71.161506653,491.91885376,0.6211986542,0.585970521,,,,,,,,,439.40872192,488393.65625,6853523.0,-414.4086914
