DEPTH_MD,CALI,RHOB,NPHI,DTC,LITHOLOGY
1151.928,17.363323212,2.0004403591,0.5890346169,133.39370728,SandstoneShale
1152.08,17.306394577,2.0072553158,0.5954430103,135.01968384,SandstoneShale
1152.232,17.303955078,2.0170853138,0.6104481816,136.6607666,SandstoneShale
1152.384,17.368221283,2.0276217461,0.6145867705,136.61581421,SandstoneShale
1152.536,17.433296204,2.0335755348,0.6009938121,134.9360199,SandstoneShale
1159.376,17.332830429,1.9937821627,0.6332134008,141.69979858,SandstoneShale
1159.528,17.305009842,1.9815971851,0.596888721,141.42420959,SandstoneShale
1160.44,17.648685455,1.926004529,0.5502502918,140.95210266,SandstoneShale
1160.592,17.555011749,1.8995585442,0.5612719655,142.64108276,SandstoneShale
1168.344,17.534988403,2.0047111511,0.5874267817,138.45013428,SandstoneShale
1168.496,17.408748627,1.9923685789,0.5235689282,140.94094849,SandstoneShale
1168.648,17.348819733,1.9905287027,0.523080945,141.12171936,SandstoneShale
1169.104,17.529714584,2.0032217503,0.6399722695,139.78411865,SandstoneShale
1169.256,17.599365234,1.994954586,0.601947248,140.05101013,SandstoneShale
1169.408,17.632246017,1.9867856503,0.5705868006,140.36270142,SandstoneShale
1169.56,17.634716034,1.9760919809,0.563111186,140.97375488,SandstoneShale
1172.6,17.627613068,1.989566803,0.6454413533,142.84645081,SandstoneShale
1172.752,17.609619141,1.9939284325,0.6367449164,142.887146,SandstoneShale
1172.904,17.573503494,1.9992666245,0.6334698796,142.76246643,SandstoneShale
1216.528,14.075368881,1.80479002,0.5493162274,147.54789734,SandstoneShale
1216.68,14.090128899,1.8217326403,0.5406078696,146.53739929,SandstoneShale
1220.936,14.94063282,1.828368187,0.5159128904,146.22244263,SandstoneShale
1221.088,14.996161461,1.8295228481,0.5124033093,147.74737549,SandstoneShale
1221.24,15.041924477,1.8334077597,0.5077378154,151.15370178,SandstoneShale
1226.408,15.427605629,1.8393716812,0.490519762,147.14567566,SandstoneShale
1226.56,15.442127228,1.8485745192,0.5005617142,146.02952576,SandstoneShale
1226.712,15.454026222,1.8698804379,0.5333076715,149.03477478,SandstoneShale
1293.896,17.047344208,1.7029653788,0.6240724921,158.17224121,SandstoneShale
1294.048,16.714214325,1.6622515917,0.598411262,158.63026428,SandstoneShale
1294.2,16.2186203,1.6371947527,0.5789687037,159.55577087,SandstoneShale
1294.352,15.781517982,1.6252030134,0.5697928071,161.55708313,SandstoneShale
1294.504,15.357936859,1.6429564953,0.5538600683,162.30018616,SandstoneShale
1294.656,14.792373657,1.6878679991,0.5336807966,163.97079468,SandstoneShale
1301.04,12.154698372,2.0217654705,0.4524592757,146.10169983,SandstoneShale
1301.192,12.12280941,2.0050981045,0.4507671297,147.4881897,SandstoneShale
1414.888,13.96572113,2.1295163631,0.5414440036,139.99934387,Limestone
1415.04,13.829253197,2.2040314674,0.5316879749,120.71784973,Limestone
1415.192,13.570147514,2.1784706116,0.4906641543,113.89911652,Limestone
1428.72,14.04224968,2.1038527489,0.5761318803,131.93110657,Limestone
1428.872,13.493611336,2.1473021507,0.5766146779,127.14173126,Limestone
1432.824,13.152923584,2.0465445518,0.4582533538,62.497806549,Limestone
1432.976,13.048430443,2.1282429695,0.4703921378,62.19070816,Limestone
1450.304,12.613965034,2.2376475334,0.4795267582,112.97047424,Limestone
1450.456,12.705791473,2.181650877,0.4405632913,115.57054138,Limestone
1450.608,12.627165794,2.0790483952,0.42820099,124.61909485,Limestone
1476.296,12.969851494,2.0575959682,0.4679863453,137.62303162,Limestone
1476.448,13.045228958,2.0824632645,0.4999463856,130.9150238,Limestone
1476.6,13.129533768,2.0865221024,0.5085084438,123.97113037,Limestone
1476.752,13.216772079,2.0667088032,0.5006061196,128.43701172,Limestone
1476.904,13.307081223,2.0524556637,0.481090486,138.25918579,Limestone
